name,restaurants_url,telephone,street,street_number,city,postal_code,rating,number_ratings
Koku Sushi Point,,794 218 788,Piaskowa,20,Bolesławiec,59-700,4.4,56
Restauracja Ha Noi,,884 192 192,Rybacka,25,Lubań,59-800,4.3,263
Smakonomia,,732700732,Rynek,12,Nowogrodziec,59-730,3.5,300
Restauracja Wolles,restauracjawolles.pl,503709780,Lubańska,13/14,Nowogrodziec,59-730,5,266
CW manual testing,,654654654,Teststreet,13,Katowice,88-888,4.5,12
Koku Sushi Point,,789249789,Bankowa,9/L1,Lubań,59-800,4.8,46
GoodBurger,goodburger-boleslawiec.pl,666313232,Bolesława Prusa,22/23,Bolesławiec,59-700,4.2,156
El Pablo,,782829882,Rynek,4,Bolesławiec,59-700,4.4,137
Restauracja Żytomierz,,516118075,10 Marca,4a,Bolesławiec,59-700,3.7,15
Da Grasso,,573442515,Ignacego Daszyńskiego,29,Bolesławiec,59-700,4.2,448
Ryõri,,882 155 731,Rynek,15/16,Bolesławiec,59-700,3.9,16
Bar Bardzo Popularny,bar-bardzo-popularny.pl,512555198,Sierpnia '80,4/6,Bolesławiec,59-700,4.6,228
Restauracja Petrochemia,restauracjapetrochemia.pl,500195499,Augusta Cieszkowskiego,13B,Bolesławiec,59-700,4.6,228
Pizzeria Marceli,pizzeriamarceli-boleslawiec.pl,728008028,Rynek 1,2 lok. 7,Bolesławiec,59-700,4.4,274
Telepizza,,573207978,Popiełuszki,2,Bolesławiec,59-700,3.6,15
Barka,,600560324,Prusa,6/7,Bolesławiec,59-700,4.3,47
Biesiadowo,,886950820,Kleeberga,2,Bolesławiec,59-700,3.9,23
Sera Kebab,sera-kebab-zagan.pl,690 453 407,Jana Keplera,20,Żagań,68-100,4.1,60
Sultan Kebap,,728 542 214,marsz. Józefa Piłsudskiego,16,Dzierżoniów,58-200,4.1,37
Sultan kebab,,795 511 160,Złota,9,Dzierżoniów,58-200,4.2,26
Pizzeria Kameralna,pizzeriakameralna.pl,748724711,Rynek,28,Nowa Ruda,57-400,4.2,233
Bar Uniwersalny,,748311081,Wrocławska,19,Dzierżoniów,58-200,4.6,111
Ha Noi,,666662019,Piastowska,36,Bielawa,58-260,4.7,154
11 Food,11-food-dzierzoniow.pl,500 768 485,Świdnicka,15,Dzierżoniów,58-200,4,107
Uzwar,,728 236 777,Rynek,24,Dzierżoniów,58-200,0,0
Rynek 24,,537202232,Rynek,24,Nowa Ruda,57-400,5,6
Zafran Kebab,,798 330 010,Jana III Sobieskiego,18,Bielawa,58-263,4.4,25
